2,692,1
3,693,1
6,860,1
7,861,1
8,920,1
9,921,1
10,1040,1
11,1041,1
12,1136,1
13,1137,1
14,1196,1
15,1197,1
18,1280,1
19,1281,1
22,1616,1
23,1617,1
28,1712,1
29,1713,1
30,1760,1
31,1761,1
32,2036,1
33,2037,1
34,2060,1
35,2061,1
40,2180,1
41,2181,1
42,2300,1
43,2301,1
46,2552,1
47,2553,1
48,2576,1
49,2577,1
50,2600,1
51,2601,1
52,2636,1
53,2637,1
54,2852,1
55,2853,1
56,2900,1
57,2901,1
58,2960,1
59,2961,1
60,2972,1
61,2973,1
72,3572,1
73,3573,1
74,3740,1
75,3741,1
76,3752,1
77,3753,1
78,3860,1
79,3861,1
82,3992,1
83,3993,1
84,4052,1
85,4053,1
86,4160,1
87,4161,1
92,4256,1
93,4257,1
94,4280,1
95,4281,1
96,4472,1
97,4473,1
98,4532,1
99,4533,1
100,4616,1
101,4617,1
102,4676,1
103,4677,1
104,4760,1
105,4761,1
108,5180,1
109,5181,1
110,5312,1
111,5313,1
112,5372,1
113,5373,1
114,5420,1
115,5421,1
118,5576,1
119,5577,1
120,5600,1
121,5601,1
122,5936,1
123,5937,1
124,5996,1
125,5997,1
128,6332,1
129,6333,1
132,6512,1
133,6513,1
134,6596,1
135,6597,1
136,6656,1
137,6657,1
138,6716,1
139,6717,1
140,6740,1
141,6741,1
142,6776,1
143,6777,1
144,6920,1
145,6921,1
146,6932,1
147,6933,1
150,7076,1
151,7077,1
152,7112,1
153,7113,1
154,7160,1
155,7161,1
160,7640,1
161,7641,1
164,7832,1
165,7833,1
166,7856,1
167,7857,1
168,8000,1
169,8001,1
170,8036,1
171,8037,1
172,8096,1
173,8097,1
176,8252,1
177,8253,1
178,8312,1
179,8313,1
180,8432,1
181,8433,1
182,8456,1
183,8457,1
186,8516,1
187,8517,1
192,8840,1
193,8841,1
194,8960,1
195,8961,1
196,9032,1
197,9033,1
198,9092,1
199,9093,1
200,9272,1
201,9273,1
202,9296,1
203,9297,1
204,9440,1
205,9441,1
212,9932,1
213,9933,1
214,10016,1
215,10017,1
218,10196,1
219,10197,1
224,10832,1
225,10833,1
228,10952,1
229,10953,1
230,11000,1
231,11001,1
232,11036,1
233,11037,1
234,11276,1
235,11277,1
236,11300,1
237,11301,1
238,11312,1
239,11313,1
240,11480,1
241,11481,1
242,11696,1
243,11697,1
246,11756,1
247,11757,1
250,12260,1
251,12261,1
252,12392,1
253,12393,1
254,12536,1
255,12537,1
256,12596,1
257,12597,1
264,13136,1
265,13137,1
266,13316,1
267,13317,1
268,13376,1
269,13377,1
276,13580,1
277,13581,1
278,13652,1
279,13653,1
280,13736,1
281,13737,1
282,13892,1
283,13893,1
286,14252,1
287,14253,1
288,14420,1
289,14421,1
290,14612,1
291,14613,1
292,14660,1
293,14661,1
294,14696,1
295,14697,1
296,14912,1
297,14913,1
308,15752,1
309,15753,1
310,15896,1
311,15897,1
312,16016,1
313,16017,1
314,16172,1
315,16173,1
316,16436,1
317,16437,1
322,16772,1
323,16773,1
326,17072,1
327,17073,1
328,17192,1
329,17193,1
332,17636,1
333,17637,1
336,17720,1
337,17721,1
342,18020,1
343,18021,1
344,18080,1
345,18081,1
346,18476,1
347,18477,1
348,18560,1
349,18561,1
350,18680,1
351,18681,1
352,18836,1
353,18837,1
356,18872,1
357,18873,1
358,18920,1
359,18921,1
366,19532,1
367,19533,1
370,19856,1
371,19857,1
374,20072,1
375,20073,1
378,20180,1
379,20181,1
384,20600,1
385,20601,1
388,20852,1
389,20853,1
390,20912,1
391,20913,1
392,20996,1
393,20997,1
394,21056,1
395,21057,1
398,21716,1
399,21717,1
400,21776,1
401,21777,1
402,21872,1
403,21873,1
404,22112,1
405,22113,1
408,22232,1
409,22233,1
412,22340,1
413,22341,1
414,22700,1
415,22701,1
416,22976,1
417,22977,1
418,23096,1
419,23097,1
420,23396,1
421,23397,1
424,23552,1
425,23553,1
428,23876,1
429,23877,1
432,24080,1
433,24081,1
434,24140,1
435,24141,1
436,24212,1
437,24213,1
440,24476,1
441,24477,1
442,24500,1
443,24501,1
446,25076,1
447,25077,1
450,25640,1
451,25641,1
452,25832,1
453,25833,1
454,26000,1
455,26001,1
456,26012,1
457,26013,1
458,26432,1
459,26433,1
470,27440,1
471,27441,1
472,27512,1
473,27513,1
474,27656,1
475,27657,1
476,27752,1
477,27753,1
480,27860,1
481,27861,1
482,27992,1
483,27993,1
484,28016,1
485,28017,1
486,28160,1
487,28161,1
488,28496,1
489,28497,1
498,29120,1
499,29121,1
500,29180,1
501,29181,1
504,29732,1
505,29733,1
506,30272,1
507,30273,1
508,30536,1
509,30537,1
512,30656,1
513,30657,1
516,31160,1
517,31161,1
518,31280,1
519,31281,1
520,31292,1
521,31293,1
522,31460,1
523,31461,1
524,31472,1
525,31473,1
526,31772,1
527,31773,1
528,31940,1
529,31941,1
532,32132,1
533,32133,1
534,32276,1
535,32277,1
536,32372,1
537,32373,1
538,32456,1
539,32457,1
540,32720,1
541,32721,1
542,32900,1
543,32901,1
548,33380,1
549,33381,1
550,33656,1
551,33657,1
554,33956,1
555,33957,1
556,34052,1
557,34053,1
558,34376,1
559,34377,1
560,34412,1
561,34413,1
562,34580,1
563,34581,1
566,34832,1
567,34833,1
568,34976,1
569,34977,1
570,35156,1
571,35157,1
572,35192,1
573,35193,1
574,35312,1
575,35313,1
576,35360,1
577,35361,1
580,35576,1
581,35577,1
582,35672,1
583,35673,1
584,35816,1
585,35817,1
588,35912,1
589,35913,1
590,35972,1
591,35973,1
592,36080,1
593,36081,1
594,36092,1
595,36093,1
596,36116,1
597,36117,1
598,36236,1
599,36237,1
600,36260,1
601,36261,1
602,36500,1
